Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
PLA2G2A,Phospholipase A2 Group IIA,Protein Coding,52,GC01M019975,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2A
RHOA,Ras Homolog Family Member A,Protein Coding,52,GC03M049397,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA
PDE4A,Phosphodiesterase 4A,Protein Coding,52,GC19P010392,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4A
PDE5A,Phosphodiesterase 5A,Protein Coding,52,GC04M119494,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE5A
HLA-DRB1,"Major Histocompatibility Complex, Class II, DR Beta 1",Protein Coding,52,GC06M032578,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1
LSS,Lanosterol Synthase,Protein Coding,52,GC21M046196,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSS
SLC25A3,Solute Carrier Family 25 Member 3,Protein Coding,52,GC12P098593,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A3
PXN,Paxillin,Protein Coding,52,GC12M120210,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXN
IL2,Interleukin 2,Protein Coding,52,GC04M122451,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
GALE,UDP-Galactose-4-Epimerase,Protein Coding,52,GC01M023795,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALE
TGFBR3,Transforming Growth Factor Beta Receptor 3,Protein Coding,52,GC01M091619,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3
THBS2,Thrombospondin 2,Protein Coding,52,GC06M169215,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS2
FDFT1,Farnesyl-Diphosphate Farnesyltransferase 1,Protein Coding,51,GC08P011795,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDFT1
FABP4,Fatty Acid Binding Protein 4,Protein Coding,51,GC08M081478,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP4
ADIPOR1,Adiponectin Receptor 1,Protein Coding,51,GC01M202940,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1
SGPL1,Sphingosine-1-Phosphate Lyase 1,Protein Coding,51,GC10P070815,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGPL1
SLCO2B1,Solute Carrier Organic Anion Transporter Family Member 2B1,Protein Coding,51,GC11P075484,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2B1
SLIT2,Slit Guidance Ligand 2,Protein Coding,51,GC04P020556,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIT2
TMPO,Thymopoietin,Protein Coding,51,GC12P098515,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPO
THBS1,Thrombospondin 1,Protein Coding,51,GC15P039581,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1
CXCR3,C-X-C Motif Chemokine Receptor 3,Protein Coding,50,GC0XM071615,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3
CSF1,Colony Stimulating Factor 1,Protein Coding,50,GC01P109911,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1
CXCL10,C-X-C Motif Chemokine Ligand 10,Protein Coding,50,GC04M076021,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10
CYP3A7,Cytochrome P450 Family 3 Subfamily A Member 7,Protein Coding,50,GC07M099705,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A7
ADRB3,Adrenoceptor Beta 3,Protein Coding,50,GC08M037962,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3
AGTR2,Angiotensin II Receptor Type 2,Protein Coding,50,GC0XP116170,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2
AKAP13,A-Kinase Anchoring Protein 13,Protein Coding,50,GC15P085381,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP13
AFG3L2,AFG3 Like Matrix AAA Peptidase Subunit 2,Protein Coding,50,GC18M012328,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFG3L2
ADD1,Adducin 1,Protein Coding,50,GC04P002857,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADD1
KISS1R,KISS1 Receptor,Protein Coding,50,GC19P000917,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KISS1R
KMT2A,Lysine Methyltransferase 2A,Protein Coding,50,GC11P118436,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A
LATS1,Large Tumor Suppressor Kinase 1,Protein Coding,50,GC06M149658,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS1
HCRTR2,Hypocretin Receptor 2,Protein Coding,50,GC06P055106,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR2
ARRB2,Arrestin Beta 2,Protein Coding,50,GC17P004711,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2
IRS2,Insulin Receptor Substrate 2,Protein Coding,50,GC13M109752,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2
LIPG,"Lipase G, Endothelial Type",Protein Coding,50,GC18P049560,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG
P2RY1,Purinergic Receptor P2Y1,Protein Coding,50,GC03P152835,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY1
PGRMC1,Progesterone Receptor Membrane Component 1,Protein Coding,50,GC0XP119236,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGRMC1
SERPINB2,Serpin Family B Member 2,Protein Coding,50,GC18P063871,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB2
OLR1,Oxidized Low Density Lipoprotein Receptor 1,Protein Coding,50,GC12M012277,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLR1
RELB,"RELB Proto-Oncogene, NF-KB Subunit",Protein Coding,50,GC19P045002,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELB
RBBP4,"RB Binding Protein 4, Chromatin Remodeling Factor",Protein Coding,50,GC01P032651,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP4
SCARB2,Scavenger Receptor Class B Member 2,Protein Coding,50,GC04M076158,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB2
PDGFA,Platelet Derived Growth Factor Subunit A,Protein Coding,50,GC07M000497,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA
ROBO1,Roundabout Guidance Receptor 1,Protein Coding,50,GC03M078567,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO1
NPPB,Natriuretic Peptide B,Protein Coding,50,GC01M011918,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB
GRB7,Growth Factor Receptor Bound Protein 7,Protein Coding,50,GC17P039744,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB7
LTBP2,Latent Transforming Growth Factor Beta Binding Protein 2,Protein Coding,50,GC14M074498,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2
NLRP12,NLR Family Pyrin Domain Containing 12,Protein Coding,50,GC19M053793,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP12
MYOD1,Myogenic Differentiation 1,Protein Coding,50,GC11P017741,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOD1
SIRT5,Sirtuin 5,Protein Coding,50,GC06P013574,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT5
SPINT2,"Serine Peptidase Inhibitor, Kunitz Type 2",Protein Coding,50,GC19P038244,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINT2
FGF14,Fibroblast Growth Factor 14,Protein Coding,50,GC13M101710,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF14
HTR1B,5-Hydroxytryptamine Receptor 1B,Protein Coding,50,GC06M077484,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1B
HLA-DQB1,"Major Histocompatibility Complex, Class II, DQ Beta 1",Protein Coding,50,GC06M032629,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1
TMPRSS6,Transmembrane Serine Protease 6,Protein Coding,50,GC22M037066,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS6
SLC26A2,Solute Carrier Family 26 Member 2,Protein Coding,50,GC05P149944,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A2
VNN1,Vanin 1,Protein Coding,50,GC06M132680,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VNN1
CX3CL1,C-X3-C Motif Chemokine Ligand 1,Protein Coding,49,GC16P057372,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CL1
ADM,Adrenomedullin,Protein Coding,49,GC11P010304,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM
AMPH,Amphiphysin,Protein Coding,49,GC07M038575,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPH
AREG,Amphiregulin,Protein Coding,49,GC04P074445,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG
GRIP1,Glutamate Receptor Interacting Protein 1,Protein Coding,49,GC12M066347,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIP1
ADIPOR2,Adiponectin Receptor 2,Protein Coding,49,GC12P001670,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR2
IDI1,Isopentenyl-Diphosphate Delta Isomerase 1,Protein Coding,49,GC10M001075,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDI1
HSD17B7,Hydroxysteroid 17-Beta Dehydrogenase 7,Protein Coding,49,GC01P162790,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B7
LGALS1,Galectin 1,Protein Coding,49,GC22P037675,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1
PMPCA,"Peptidase, Mitochondrial Processing Alpha Subunit",Protein Coding,49,GC09P136410,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCA
SERPINA5,Serpin Family A Member 5,Protein Coding,49,GC14P094563,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA5
PCDH19,Protocadherin 19,Protein Coding,49,GC0XM100291,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH19
RETN,Resistin,Protein Coding,49,GC19P007669,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN
ROBO2,Roundabout Guidance Receptor 2,Protein Coding,49,GC03P075955,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO2
RAPGEF4,Rap Guanine Nucleotide Exchange Factor 4,Protein Coding,49,GC02P172735,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF4
LPAR2,Lysophosphatidic Acid Receptor 2,Protein Coding,49,GC19M019597,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPAR2
MAP2,Microtubule Associated Protein 2,Protein Coding,49,GC02P209424,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2
MEIS1,Meis Homeobox 1,Protein Coding,49,GC02P066433,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIS1
MEIS2,Meis Homeobox 2,Protein Coding,49,GC15M036889,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIS2
MYOC,Myocilin,Protein Coding,49,GC01M171604,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOC
SLIT3,Slit Guidance Ligand 3,Protein Coding,49,GC05M168661,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIT3
HLA-DQA1,"Major Histocompatibility Complex, Class II, DQ Alpha 1",Protein Coding,49,GC06P032629,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1
TNFRSF12A,TNF Receptor Superfamily Member 12A,Protein Coding,49,GC16P003018,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF12A
ACSBG1,Acyl-CoA Synthetase Bubblegum Family Member 1,Protein Coding,48,GC15M078167,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSBG1
JUND,"JunD Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,48,GC19M018279,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUND
IFNB1,Interferon Beta 1,Protein Coding,48,GC09M021077,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1
PNPLA3,Patatin Like Phospholipase Domain Containing 3,Protein Coding,48,GC22P043923,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3
NR2C2,Nuclear Receptor Subfamily 2 Group C Member 2,Protein Coding,48,GC03P014947,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2C2
SLIT1,Slit Guidance Ligand 1,Protein Coding,48,GC10M096998,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIT1
CLDN5,Claudin 5,Protein Coding,47,GC22M019510,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN5
KISS1,KiSS-1 Metastasis Suppressor,Protein Coding,47,GC01M204190,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KISS1
KMT2D,Lysine Methyltransferase 2D,Protein Coding,47,GC12M049018,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D
GPLD1,Glycosylphosphatidylinositol Specific Phospholipase D1,Protein Coding,47,GC06M024425,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPLD1
HSD17B8,Hydroxysteroid 17-Beta Dehydrogenase 8,Protein Coding,47,GC06P033201,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B8
PLIN3,Perilipin 3,Protein Coding,47,GC19M004839,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN3
PSMB3,Proteasome Subunit Beta 3,Protein Coding,47,GC17P038752,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB3
SGCB,Sarcoglycan Beta,Protein Coding,47,GC04M052019,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCB
PAPPA,Pappalysin 1,Protein Coding,47,GC09P116157,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA
SCD5,Stearoyl-CoA Desaturase 5,Protein Coding,47,GC04M082629,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCD5
RPL19,Ribosomal Protein L19,Protein Coding,47,GC17P039200,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL19
MSLN,Mesothelin,Protein Coding,47,GC16P001026,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSLN
NDN,"Necdin, MAGE Family Member",Protein Coding,47,GC15M023686,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDN
TBX19,T-Box 19,Protein Coding,47,GC01P168250,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX19
TES,Testin LIM Domain Protein,Protein Coding,47,GC07P116210,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TES
CCN2,Cellular Communication Network Factor 2,Protein Coding,46,GC06M131948,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2
DKK3,Dickkopf WNT Signaling Pathway Inhibitor 3,Protein Coding,46,GC11M011984,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK3
ARAP1,"ArfGAP With RhoGAP Domain, Ankyrin Repeat And PH Domain 1",Protein Coding,46,GC11M072686,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARAP1
PSMC3IP,PSMC3 Interacting Protein,Protein Coding,46,GC17M042572,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC3IP
PBX2,PBX Homeobox 2,Protein Coding,46,GC06M032184,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX2
RARRES2,Retinoic Acid Receptor Responder 2,Protein Coding,46,GC07M150333,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2
MAGED2,MAGE Family Member D2,Protein Coding,46,GC0XP054807,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGED2
SIK3,SIK Family Kinase 3,Protein Coding,46,GC11M116843,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIK3
INSIG1,Insulin Induced Gene 1,Protein Coding,46,GC07P155297,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSIG1
HOXA7,Homeobox A7,Protein Coding,46,GC07M027153,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA7
HDLBP,High Density Lipoprotein Binding Protein,Protein Coding,46,GC02M241227,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDLBP
LPO,Lactoperoxidase,Protein Coding,45,GC17P058218,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPO
MAGEA1,MAGE Family Member A1,Protein Coding,45,GC0XP153179,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEA1
STARD13,StAR Related Lipid Transfer Domain Containing 13,Protein Coding,45,GC13M033103,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD13
CLEC4A,C-Type Lectin Domain Family 4 Member A,Protein Coding,44,GC12P008123,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4A
DLEC1,"DLEC1, Cilia And Flagella Associated Protein",Protein Coding,44,GC03P038080,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEC1
ACOT13,Acyl-CoA Thioesterase 13,Protein Coding,44,GC06P024667,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT13
SCG5,Secretogranin V,Protein Coding,44,GC15P032641,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCG5
MARCKS,Myristoylated Alanine Rich Protein Kinase C Substrate,Protein Coding,44,GC06P113857,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCKS
NENF,Neudesin Neurotrophic Factor,Protein Coding,44,GC01P212432,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NENF
SLC51A,Solute Carrier Family 51 Alpha Subunit,Protein Coding,44,GC03P196211,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC51A
TSNAX,Translin Associated Factor X,Protein Coding,44,GC01P231529,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSNAX
ACOT2,Acyl-CoA Thioesterase 2,Protein Coding,43,GC14P073567,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT2
PRDM8,PR/SET Domain 8,Protein Coding,43,GC04P080183,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM8
ECD,Ecdysoneless Cell Cycle Regulator,Protein Coding,42,GC10M073130,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECD
SENP7,SUMO Specific Peptidase 7,Protein Coding,42,GC03M101324,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SENP7
OPN1LW,"Opsin 1, Long Wave Sensitive",Protein Coding,42,GC0XP154144,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPN1LW
NSMCE4A,"NSE4 Homolog A, SMC5-SMC6 Complex Component",Protein Coding,42,GC10M121957,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE4A
UCN3,Urocortin 3,Protein Coding,42,GC10P005396,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN3
TMEM97,Transmembrane Protein 97,Protein Coding,42,GC17P028319,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM97
NSMCE1,"NSE1 Homolog, SMC5-SMC6 Complex Component",Protein Coding,41,GC16M027236,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE1
LONP2,"Lon Peptidase 2, Peroxisomal",Protein Coding,41,GC16P048278,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LONP2
CYB5D2,Cytochrome B5 Domain Containing 2,Protein Coding,39,GC17P004143,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5D2
EID2,EP300 Interacting Inhibitor Of Differentiation 2,Protein Coding,39,GC19M039538,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EID2
INTS2,Integrator Complex Subunit 2,Protein Coding,39,GC17M061865,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS2
MAGEC2,MAGE Family Member C2,Protein Coding,39,GC0XM142202,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEC2
MAGEF1,MAGE Family Member F1,Protein Coding,39,GC03M184710,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEF1
STRA8,Stimulated By Retinoic Acid 8,Protein Coding,39,GC07P135231,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRA8
VPREB3,V-Set Pre-B Cell Surrogate Light Chain 3,Protein Coding,39,GC22M023752,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPREB3
ACRBP,Acrosin Binding Protein,Protein Coding,38,GC12M006638,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACRBP
MAGEB1,MAGE Family Member B1,Protein Coding,38,GC0XP030261,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEB1
MAGEH1,MAGE Family Member H1,Protein Coding,38,GC0XP055452,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEH1
STARD9,StAR Related Lipid Transfer Domain Containing 9,Protein Coding,38,GC15P042575,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD9
EID3,EP300 Interacting Inhibitor Of Differentiation 3,Protein Coding,37,GC12P104303,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EID3
UCN2,Urocortin 2,Protein Coding,37,GC03M048561,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN2
GPHB5,Glycoprotein Hormone Beta 5,Protein Coding,35,GC14M063312,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPHB5
NSMCE3,"NSE3 Homolog, SMC5-SMC6 Complex Component",Protein Coding,35,GC15M029269,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE3
EID2B,EP300 Interacting Inhibitor Of Differentiation 2B,Protein Coding,34,GC19M039530,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EID2B
MAGED4B,MAGE Family Member D4B,Protein Coding,33,GC0XM052061,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGED4B
HSD17B1P1,Hydroxysteroid 17-Beta Dehydrogenase 1 Pseudogene 1,Pseudogene,10,GC17P042545,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B1P1
LEPQTL1,"Leptin, Serum Levels Of",Genetic Locus,6,GC02U903086,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1
LOC108004539,CYP21A1P Recombination Region,Uncategorized,3,GC06U903583,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108004539
LOC109623489,Insulin Repeat Instability Region,Uncategorized,3,GC11U902967,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109623489
LOC110366354,CYP3A4 5' Regulatory Region,Uncategorized,3,GC07U904757,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110366354
LOC110599592,CYP3A5 Promoter,Uncategorized,3,GC07U904751,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110599592
LOC106780800,CYP21A2 Recombination Region,Uncategorized,3,GC06U903579,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106780800
